dim 1,dim 2
92.37684,-10.088149
-14.100622,-20.749603
15.246773,-16.204304
91.64907,-7.3808074
23.7492,-9.529249
18.783104,-12.922576
24.427141,-37.270706
77.44587,-29.471287
-25.892534,71.97011
36.03743,2.484041
100.87641,-13.087513
-80.28014,24.630674
12.129819,15.688479
-73.071014,45.030598
-34.3004,-41.388847
-26.46905,30.230997
-16.273151,-91.109795
99.68793,-0.10573981
-49.06947,-35.03595
27.892855,-89.942825
-24.711798,-55.55319
-0.6559716,82.09879
17.689404,80.8213
-41.548756,-63.010864
91.26735,0.5009678
-2.4211876,-42.412815
-73.94805,-12.23704
-2.0169241,-37.02436
0.98965895,-39.843178
4.1548567,16.913525
-86.0796,4.029096
31.136532,58.86495
68.9655,17.162285
-53.86801,-34.45489
24.089863,-12.48776
-49.141735,-60.692886
-26.256157,-56.220932
-25.534496,-62.668736
50.308144,15.421015
-34.45319,20.551497
-81.05412,40.829376
-23.851986,-28.678997
-47.758965,-10.794041
19.718752,69.67108
52.91206,17.366177
-12.889289,60.414894
-2.567449,-16.45542
91.47446,-1.3414638
59.09257,60.745308
-56.195797,-51.812775
43.05497,46.147472
33.779877,34.19209
13.8496685,17.962803
-62.237938,-50.0595
60.5874,-60.039272
-5.1639314,2.6921494
-44.147064,-12.26978
-9.062842,-20.729397
-23.757578,71.019264
74.24764,9.991642
8.1031885,-60.85081
-58.848145,-9.242251
-5.9763494,17.469957
59.59608,65.55363
19.526758,69.868416
-57.54922,26.468895
46.04052,43.34933
4.745095,-84.88621
44.456238,13.81504
-89.80443,-10.869026
-55.11138,-10.824641
-39.774303,-56.71632
-17.416676,25.490408
-54.096657,-44.68043
-19.52376,-90.19435
1.4663593,62.81092
-7.0670137,-7.6622696
-28.114035,45.140133
10.285529,32.009834
69.06289,44.101494
4.9463544,-42.251915
96.40595,-0.6221789
-65.5404,-12.957878
47.90725,-36.88866
-32.856674,-58.825306
-36.742207,-42.312366
5.906689,1.9454557
29.770454,-30.642836
98.99125,-15.090545
26.866337,-44.769375
-32.697777,-45.404892
-57.645916,-50.11384
31.240427,40.43281
-32.873093,-53.635197
72.43602,5.013798
-75.66759,31.931107
-2.342996,-29.874405
-60.96433,39.05721
75.62997,15.132517
-12.61805,-0.10051138
-5.3163376,-72.67352
70.91186,-33.998936
-75.01791,28.47904
10.765385,28.201317
30.807907,93.99674
76.29856,-33.642227
-56.268238,-60.033726
-9.584938,-101.03336
72.22094,53.14399
26.936916,58.41352
-13.400776,86.20803
-9.348328,-96.94581
-2.1969445,-88.191986
-59.232136,2.6712337
67.49378,50.889996
61.806145,-54.22041
-24.206985,-55.414513
-89.5916,-7.69419
66.29112,51.46042
47.01019,-5.8948717
-18.571754,32.957794
-18.511883,33.08762
17.652866,49.10164
57.80254,-57.248295
-33.256,7.372181
-13.230992,-30.290335
-33.419273,56.485176
-62.07778,41.236336
91.16337,-1.0221996
-81.972595,30.97376
-89.74006,-3.4660864
-4.7830076,14.541261
55.840935,4.802951
-25.9985,-15.387479
99.37186,0.7132783
-20.595844,73.515305
24.146873,-88.606186
29.659687,90.63837
-59.872917,-11.966271
39.60404,-57.747406
-24.870436,-19.376722
58.35503,71.98851
-8.56449,-22.385702
4.285861,65.81631
-12.888041,-57.480824
-56.36634,30.130302
-20.769749,62.583282
70.61376,-26.087248
-20.800072,-22.151175
-3.1397142,57.795353
98.692345,-7.1489596
10.259897,33.818504
29.668816,87.87336
-74.04733,29.280293
-52.89276,-62.99075
-4.01245,21.36988
-20.080109,18.339296
-1.980739,69.17369
-49.973896,-43.697807
54.723072,43.541668
36.777794,-38.791477
-28.244911,63.52508
-34.344776,-41.334812
66.80454,57.19109
-34.35264,91.309845
1.7459528,-76.266685
5.0989633,-69.17877
18.025263,78.094925
-81.8942,4.2918196
1.2719733,-87.63914
-27.956743,91.05066
-22.18612,-59.360844
66.1454,62.701874
20.227839,-56.806797
44.34871,44.86558
20.167583,-15.135409
54.261127,15.635316
29.973078,87.81956
-34.999874,-32.556934
-65.14989,-11.407718
27.31661,-26.024755
1.0693262,-44.372112
16.84053,9.67183
-89.53285,-7.570118
-63.46766,33.54479
2.3784444,-40.59772
-9.423028,72.96956
-3.4329748,-98.97957
33.852783,-44.367622
72.13689,-26.448986
-52.689453,38.155342
26.919249,60.91985
39.727085,-61.886795
-1.3942357,79.9698
16.525858,18.948149
-20.616259,10.237329
-13.230592,-20.542542
-31.336641,79.79389
-50.074528,36.41881
74.883446,12.753689
-6.225597,60.07565
75.32627,14.196981
61.828434,14.829785
-56.769283,16.06759
71.41974,49.80114
-72.6861,34.584183
13.179587,-59.701363
-27.725294,9.698494
24.692202,-55.310364
-8.280021,-82.44811
-34.952328,-34.616173
-72.86694,-12.332754
58.30877,12.627465
49.935204,58.667618
-12.201697,10.397268
61.94891,-54.282665
-19.648247,-27.76504
12.923598,-18.04275
-34.105473,-36.308434
24.934296,-76.292854
-28.871399,-14.398383
-23.944338,5.6115093
19.240593,-78.63145
68.30327,-5.3487067
38.421177,-2.2943368
-36.74178,79.50339
-39.24625,67.155945
-11.614037,-96.15861
-8.216666,30.099258
-65.018074,33.333725
-27.88834,-48.98579
71.15078,53.76165
56.08595,44.582935
33.390697,35.003498
101.88012,-8.515766
74.97158,14.553774
33.970078,42.525753
52.131428,-7.219049
4.301577,12.275363
-2.1379943,-72.95428
-9.388767,-20.291178
21.636232,52.77793
-19.311846,-10.516168
-52.978024,56.06985
55.94717,42.359547
-17.834696,61.666832
-7.255487,-1.613608
56.99269,9.152106
-11.6263275,35.53239
16.952957,-74.20322
-39.888744,8.413297
72.988655,9.907128
44.50939,-4.9954896
-1.5947407,2.174077
-58.269424,33.90748
41.64995,-1.4396616
7.3519936,14.175403
-41.421585,-10.850888
-55.82069,-14.015871
35.160927,-26.076338
-59.23382,43.869034
44.46515,43.36628
16.878391,-66.5278
-16.082138,-54.07934
54.40377,40.843643
51.96443,-2.4477446
-3.7766213,-30.264711
-19.90853,-30.204727
32.92233,-43.010136
-24.582157,-28.97706
1.9641958,-53.971165
19.906271,73.955864
-1.201658,11.496796
32.010788,-66.5486
44.093266,-8.495462
-23.19496,17.424341
73.80049,9.8796015
34.413944,8.703842
-46.80571,-39.503498
70.20433,-7.542482
38.819168,-42.792015
-51.445168,60.062073
73.44689,16.401482
30.059996,-31.40048
13.222768,-70.481384
59.63642,53.128613
31.589182,32.988365
-7.8113713,73.577034
9.492115,-41.072613
50.733757,-2.821082
-37.909416,7.9211793
57.026493,-57.449062
-72.07306,20.83466
-52.309742,59.57966
-46.862293,-60.934834
31.01536,-65.20822
-38.720425,-50.174755
-34.21429,68.98745
-52.46594,-35.306732
3.5348825,-34.45293
69.93464,-33.6593
5.771379,-83.275475
25.06893,-40.905968
52.688007,68.595215
-14.865381,-12.577325
-4.646611,-6.7197948
29.30117,-22.749588
-18.838436,5.3748226
-1.1203681,-88.054756
-18.39363,-60.61423
26.116074,-45.993618
-80.12311,31.812286
44.488773,-9.052084
19.27807,69.8809
